train_loss,train_acc,epoch,step,test_loss,test_acc
0.6493180394172668,0.829800009727478,0,468,,
0.2467653453350067,0.9274333119392395,1,937,,
0.18693216145038605,0.9445000290870667,2,1406,,
0.14762230217456818,0.9554833173751831,3,1875,,
0.11840671300888062,0.9651666879653931,4,2344,,
0.09568673372268677,0.9721500277519226,5,2813,,
0.07764645665884018,0.9779166579246521,6,3282,,
0.06307870894670486,0.9824166893959045,7,3751,,
0.05115425959229469,0.9864500164985657,8,4220,,
0.04119134694337845,0.989799976348877,9,4689,,
0.032749809324741364,0.9922500252723694,10,5158,,
0.025670254603028297,0.994700014591217,11,5627,,
0.019843226298689842,0.9960833191871643,12,6096,,
0.015035299584269524,0.9974166750907898,13,6565,,
0.01111786812543869,0.9984666705131531,14,7034,,
0.008076801896095276,0.9990833401679993,15,7503,,
0.005882931873202324,0.9995666742324829,16,7972,,
0.0043022832833230495,0.999750018119812,17,8441,,
0.003288272302597761,0.9998999834060669,18,8910,,
0.002340717939659953,0.9999499917030334,19,9379,,
0.0018485609907656908,0.9999499917030334,20,9848,,
0.0014650500379502773,0.9999833106994629,21,10317,,
0.011054273694753647,0.996066689491272,22,10786,,
0.0019237649394199252,0.9997833371162415,23,11255,,
0.0009338811505585909,0.9999666810035706,24,11724,,
0.0005644999910145998,1.0,25,12193,,
0.00041307799983769655,1.0,26,12662,,
0.00032005138928070664,1.0,27,13131,,
0.0002601181040517986,1.0,28,13600,,
0.00021351527539081872,1.0,29,14069,,
0.00017547309107612818,1.0,30,14538,,
0.00014384287351276726,1.0,31,15007,,
0.00011740325862774625,1.0,32,15476,,
9.532205149298534e-05,1.0,33,15945,,
7.696078682783991e-05,1.0,34,16414,,
6.178823241498321e-05,1.0,35,16883,,
4.9342841521138325e-05,1.0,36,17352,,
3.921259121852927e-05,1.0,37,17821,,
3.10283612634521e-05,1.0,38,18290,,
2.4461161956423894e-05,1.0,39,18759,,
1.9224054994992912e-05,1.0,40,19228,,
1.5069733308337163e-05,1.0,41,19697,,
1.1788522897404619e-05,1.0,42,20166,,
9.206919457938056e-06,1.0,43,20635,,
7.181666660471819e-06,1.0,44,21104,,
5.597154995484743e-06,1.0,45,21573,,
4.3594827729975805e-06,1.0,46,22042,,
3.3943692869797815e-06,1.0,47,22511,,
2.6427155717101414e-06,1.0,48,22980,,
2.0577776922436897e-06,1.0,49,23449,,
1.6026344837882789e-06,1.0,50,23918,,
1.2490605740822502e-06,1.0,51,24387,,
9.74033355305437e-07,1.0,52,24856,,
7.602712912557763e-07,1.0,53,25325,,
5.940992195974104e-07,1.0,54,25794,,
4.6489316218867316e-07,1.0,55,26263,,
3.6451353935262887e-07,1.0,56,26732,,
2.860383858660498e-07,1.0,57,27201,,
2.2507290964313142e-07,1.0,58,27670,,
1.7744095259786263e-07,1.0,59,28139,,
1.4042848306417e-07,1.0,60,28608,,
1.1139708533391968e-07,1.0,61,29077,,
8.871951706623804e-08,1.0,62,29546,,
7.096528520378342e-08,1.0,63,30015,,
5.702375815985761e-08,1.0,64,30484,,
4.595716518451809e-08,1.0,65,30953,,
3.742773913018027e-08,1.0,66,31422,,
3.06248644221796e-08,1.0,67,31891,,
2.528826215097979e-08,1.0,68,32360,,
2.104043694828306e-08,1.0,69,32829,,
1.7585355394089675e-08,1.0,70,33298,,
1.4897186595419498e-08,1.0,71,33767,,
1.2602408006046062e-08,1.0,72,34236,,
1.0927517557490773e-08,1.0,73,34705,,
9.53674206272126e-09,1.0,74,35174,,
8.366503934098546e-09,1.0,75,35643,,
7.476408825368708e-09,1.0,76,36112,,
6.745258573914725e-09,1.0,77,36581,,
6.131330554381975e-09,1.0,78,37050,,
5.654493318019149e-09,1.0,79,37519,,
5.25911580950833e-09,1.0,80,37988,,
4.971026701383607e-09,1.0,81,38457,,
4.6730037617237485e-09,1.0,82,38926,,
4.492203053985122e-09,1.0,83,39395,,
4.357099125940067e-09,1.0,84,39864,,
4.196166525360923e-09,1.0,85,40333,,
4.112719942384047e-09,1.0,86,40802,,
4.0193395278720345e-09,1.0,87,41271,,
3.9259591133600225e-09,1.0,88,41740,,
3.876288623416713e-09,1.0,89,42209,,
3.848473095757754e-09,1.0,90,42678,,
3.800789460939313e-09,1.0,91,43147,,
3.78489461994036e-09,1.0,92,43616,,
3.7391978402467885e-09,1.0,93,44085,,
3.7391978402467885e-09,1.0,94,44554,,
3.681579929804002e-09,1.0,95,45023,,
3.72330322129244e-09,1.0,96,45492,,
3.6756195864739993e-09,1.0,97,45961,,
3.67363273134913e-09,1.0,98,46430,,
3.6875404951786095e-09,1.0,99,46899,,
3.6974745487583505e-09,1.0,100,47368,,
3.71138231258783e-09,1.0,101,47837,,
3.659724967519651e-09,1.0,102,48306,,
3.737210985121919e-09,1.0,103,48775,,
3.7173428779624373e-09,1.0,104,49244,,
